Model Name,Release Date,Company/Provider,Parameters,Context Window,Architecture,Modality,Model Type,Public Access,Features,Notable Achievements
LegalBERT (GGUF-Q4_0),2021-06-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
LegalBERT (GGUF-Q4_1),2021-06-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
LegalBERT (GGUF-Q5_0),2021-06-01T00:00:00Z,Research Institutions / Research,Unknown,512,,text,Domain-Specific Model,Yes,,
LegalBERT via Together,2021-06-01T00:00:00Z,Research Institutions / Together (API),Unknown,512,,text,Domain-Specific Model,Yes,,
LegalBERT via Replicate,2021-06-01T00:00:00Z,Research Institutions / Replicate (API),Unknown,512,,text,Domain-Specific Model,Yes,,
LegalBERT via Baseten,2021-06-01T00:00:00Z,Research Institutions / Baseten (API),Unknown,512,,text,Domain-Specific Model,Yes,,
LegalBERT-Large,2021-06-01T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
PubMedBERT,2021-08-17T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
code-davinci-002,2021-12-15T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,"text, image",Language Model,No,,
code-davinci-002 (GGUF-Q4_0),2021-12-15T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,"text, image",Language Model,No,,
code-davinci-002 (GGUF-Q4_1),2021-12-15T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,"text, image",Language Model,No,,
code-davinci-002 (GGUF-Q5_0),2021-12-15T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,"text, image",Language Model,No,,
code-davinci-002 via Together,2021-12-15T00:00:00Z,OpenAI / Together (API),Unknown,4096,,"text, image",Language Model,No,,
code-davinci-002 via Replicate,2021-12-15T00:00:00Z,OpenAI / Replicate (API),Unknown,4096,,"text, image",Language Model,No,,
code-davinci-002 via Baseten,2021-12-15T00:00:00Z,OpenAI / Baseten (API),Unknown,4096,,"text, image",Language Model,No,,
text-curie,2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-babbage,2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-ada,2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-curie (GGUF-Q4_0),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-curie (GGUF-Q4_1),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-curie (GGUF-Q5_0),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-babbage (GGUF-Q4_0),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-babbage (GGUF-Q4_1),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-babbage (GGUF-Q5_0),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-ada (GGUF-Q4_0),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-ada (GGUF-Q4_1),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-ada (GGUF-Q5_0),2022-01-01T00:00:00Z,OpenAI / OpenAI,Unknown,2048,,text,Language Model,No,,
text-curie via Together,2022-01-01T00:00:00Z,OpenAI / Together (API),Unknown,2048,,text,Language Model,No,,
text-curie via Replicate,2022-01-01T00:00:00Z,OpenAI / Replicate (API),Unknown,2048,,text,Language Model,No,,
text-curie via Baseten,2022-01-01T00:00:00Z,OpenAI / Baseten (API),Unknown,2048,,text,Language Model,No,,
text-babbage via Together,2022-01-01T00:00:00Z,OpenAI / Together (API),Unknown,2048,,text,Language Model,No,,
text-babbage via Replicate,2022-01-01T00:00:00Z,OpenAI / Replicate (API),Unknown,2048,,text,Language Model,No,,
text-babbage via Baseten,2022-01-01T00:00:00Z,OpenAI / Baseten (API),Unknown,2048,,text,Language Model,No,,
text-ada via Together,2022-01-01T00:00:00Z,OpenAI / Together (API),Unknown,2048,,text,Language Model,No,,
text-ada via Replicate,2022-01-01T00:00:00Z,OpenAI / Replicate (API),Unknown,2048,,text,Language Model,No,,
text-ada via Baseten,2022-01-01T00:00:00Z,OpenAI / Baseten (API),Unknown,2048,,text,Language Model,No,,
LawBERT,2022-01-15T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
BLIP,2022-01-18T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,"text, image",Specialized Model,Yes,,
LaMDA,2022-01-20T00:00:00Z,Google / Google,Unknown,8192,,text,Language Model,No,,
LaMDA (GGUF-Q4_0),2022-01-20T00:00:00Z,Google / Google,Unknown,8192,,text,Language Model,No,,
LaMDA (GGUF-Q4_1),2022-01-20T00:00:00Z,Google / Google,Unknown,8192,,text,Language Model,No,,
LaMDA (GGUF-Q5_0),2022-01-20T00:00:00Z,Google / Google,Unknown,8192,,text,Language Model,No,,
LaMDA via Together,2022-01-20T00:00:00Z,Google / Together (API),Unknown,8192,,text,Language Model,No,,
LaMDA via Replicate,2022-01-20T00:00:00Z,Google / Replicate (API),Unknown,8192,,text,Language Model,No,,
LaMDA via Baseten,2022-01-20T00:00:00Z,Google / Baseten (API),Unknown,8192,,text,Language Model,No,,
Flamingo,2022-04-29T00:00:00Z,Research Institutions / Research/Specialized,Unknown,2048,,text,Specialized Model,Yes,,
OPT-175B,2022-05-03T00:00:00Z,HuggingFace / HuggingFace,175B,2048,,text,Language Model,Yes,,
OPT-175B (GGUF-Q4_0),2022-05-03T00:00:00Z,HuggingFace / HuggingFace,175B,2048,,text,Language Model,Yes,,
OPT-175B (GGUF-Q4_1),2022-05-03T00:00:00Z,HuggingFace / HuggingFace,175B,2048,,text,Language Model,Yes,,
OPT-175B (GGUF-Q5_0),2022-05-03T00:00:00Z,HuggingFace / HuggingFace,175B,2048,,text,Language Model,Yes,,
OPT-175B via Together,2022-05-03T00:00:00Z,HuggingFace / Together (API),175B,2048,,text,Language Model,Yes,,
OPT-175B via Replicate,2022-05-03T00:00:00Z,HuggingFace / Replicate (API),175B,2048,,text,Language Model,Yes,,
OPT-175B via Baseten,2022-05-03T00:00:00Z,HuggingFace / Baseten (API),175B,2048,,text,Language Model,Yes,,
BioGPT,2022-05-13T00:00:00Z,Research Institutions / Research/Specialized,Unknown,1024,,text,Specialized Model,Yes,,
Minerva-8B,2022-06-15T00:00:00Z,Research Institutions / Research/Specialized,Unknown,4096,,text,Specialized Model,Yes,,
text-davinci-002,2022-06-21T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
text-davinci-002 (GGUF-Q4_0),2022-06-21T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
text-davinci-002 (GGUF-Q4_1),2022-06-21T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
text-davinci-002 (GGUF-Q5_0),2022-06-21T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
text-davinci-002 via Together,2022-06-21T00:00:00Z,OpenAI / Together (API),Unknown,4096,,text,Language Model,No,,
text-davinci-002 via Replicate,2022-06-21T00:00:00Z,OpenAI / Replicate (API),Unknown,4096,,text,Language Model,No,,
text-davinci-002 via Baseten,2022-06-21T00:00:00Z,OpenAI / Baseten (API),Unknown,4096,,text,Language Model,No,,
BLOOM-176B,2022-07-12T00:00:00Z,HuggingFace / HuggingFace,176B,2048,,text,Language Model,Yes,,
BLOOM-176B (GGUF-Q4_0),2022-07-12T00:00:00Z,HuggingFace / HuggingFace,176B,2048,,text,Language Model,Yes,,
BLOOM-176B (GGUF-Q4_1),2022-07-12T00:00:00Z,HuggingFace / HuggingFace,176B,2048,,text,Language Model,Yes,,
BLOOM-176B (GGUF-Q5_0),2022-07-12T00:00:00Z,HuggingFace / HuggingFace,176B,2048,,text,Language Model,Yes,,
BLOOM-176B via Together,2022-07-12T00:00:00Z,HuggingFace / Together (API),176B,2048,,text,Language Model,Yes,,
BLOOM-176B via Replicate,2022-07-12T00:00:00Z,HuggingFace / Replicate (API),176B,2048,,text,Language Model,Yes,,
BLOOM-176B via Baseten,2022-07-12T00:00:00Z,HuggingFace / Baseten (API),176B,2048,,text,Language Model,Yes,,
UniXcoder,2022-09-23T00:00:00Z,Research Institutions / Research/Specialized,Unknown,512,,text,Specialized Model,Yes,,
FLAN-T5 XXL,2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XL,2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-UL2,2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XXL (GGUF-Q4_0),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XXL (GGUF-Q4_1),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XXL (GGUF-Q5_0),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XL (GGUF-Q4_0),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XL (GGUF-Q4_1),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XL (GGUF-Q5_0),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-UL2 (GGUF-Q4_0),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-UL2 (GGUF-Q4_1),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-UL2 (GGUF-Q5_0),2022-10-13T00:00:00Z,Google / Google,Unknown,512,,text,Language Model,No,,
FLAN-T5 XXL via Together,2022-10-13T00:00:00Z,Google / Together (API),Unknown,512,,text,Language Model,No,,
FLAN-T5 XXL via Replicate,2022-10-13T00:00:00Z,Google / Replicate (API),Unknown,512,,text,Language Model,No,,
FLAN-T5 XXL via Baseten,2022-10-13T00:00:00Z,Google / Baseten (API),Unknown,512,,text,Language Model,No,,
FLAN-T5 XL via Together,2022-10-13T00:00:00Z,Google / Together (API),Unknown,512,,text,Language Model,No,,
FLAN-T5 XL via Replicate,2022-10-13T00:00:00Z,Google / Replicate (API),Unknown,512,,text,Language Model,No,,
FLAN-T5 XL via Baseten,2022-10-13T00:00:00Z,Google / Baseten (API),Unknown,512,,text,Language Model,No,,
FLAN-UL2 via Together,2022-10-13T00:00:00Z,Google / Together (API),Unknown,512,,text,Language Model,No,,
FLAN-UL2 via Replicate,2022-10-13T00:00:00Z,Google / Replicate (API),Unknown,512,,text,Language Model,No,,
FLAN-UL2 via Baseten,2022-10-13T00:00:00Z,Google / Baseten (API),Unknown,512,,text,Language Model,No,,
dall-e-2,2022-11-08T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
dall-e-2 (GGUF-Q4_0),2022-11-08T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
dall-e-2 (GGUF-Q4_1),2022-11-08T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
dall-e-2 (GGUF-Q5_0),2022-11-08T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
dall-e-2 via Together,2022-11-08T00:00:00Z,OpenAI / Together (API),Unknown,4096,,text,Language Model,No,,
dall-e-2 via Replicate,2022-11-08T00:00:00Z,OpenAI / Replicate (API),Unknown,4096,,text,Language Model,No,,
dall-e-2 via Baseten,2022-11-08T00:00:00Z,OpenAI / Baseten (API),Unknown,4096,,text,Language Model,No,,
Galactica-120B,2022-11-15T00:00:00Z,Research Institutions / Research/Specialized,Unknown,2048,,text,Specialized Model,Yes,,
Galactica-30B,2022-11-15T00:00:00Z,Research Institutions / Research/Specialized,Unknown,2048,,text,Specialized Model,Yes,,
Galactica-6.7B,2022-11-15T00:00:00Z,Research Institutions / Research/Specialized,Unknown,2048,,text,Specialized Model,Yes,,
text-davinci-003,2022-11-28T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
